001.051.016.000;001.051.063.255
036.149.000.000;036.149.255.255
036.151.000.000;036.151.255.255
036.156.000.000;036.156.255.255
036.192.115.000;036.192.138.255
042.244.000.000;042.244.095.255
042.247.000.096;042.247.000.127
042.247.001.200;042.247.001.207
042.247.004.000;042.247.004.127
042.247.006.128;042.247.006.135
042.247.006.200;042.247.006.207
042.247.007.168;042.247.007.175
042.247.009.208;042.247.009.215
042.247.015.128;042.247.015.191
042.247.018.000;042.247.018.015
042.247.018.064;042.247.018.095
042.247.019.096;042.247.019.127
043.240.000.000;043.240.003.255
043.241.048.000;043.241.051.255
043.247.088.000;043.247.091.255
043.247.224.000;043.247.227.255
043.248.148.000;043.248.151.255
043.249.144.000;043.249.147.255
043.250.168.000;043.250.171.255
043.254.052.000;043.254.055.255
045.113.024.000;045.113.027.255
045.113.240.000;045.113.243.255
045.124.068.000;045.124.071.255
049.064.000.000;049.095.255.255
049.152.000.000;049.155.255.255
058.083.017.000;058.083.017.255
058.192.000.000;058.192.069.255
058.192.072.000;058.193.215.255
058.193.224.000;058.193.255.255
058.194.010.000;058.194.011.255
058.194.016.000;058.194.023.255
058.195.087.000;058.195.087.015
058.195.102.016;058.195.102.019
058.197.000.000;058.197.033.255
058.200.000.000;058.200.000.255
058.200.005.000;058.200.005.255
058.200.007.000;058.200.007.127
058.200.064.128;058.200.064.255
058.200.073.000;058.200.074.255
058.200.078.000;058.200.078.127
058.200.080.000;058.200.080.127
058.200.096.000;058.200.096.127
058.207.096.000;058.207.119.255
058.208.000.000;058.223.255.255
058.240.000.000;058.241.255.255
059.043.000.054;059.043.000.054
059.043.000.089;059.043.000.089
059.043.002.162;059.043.002.162
059.043.009.010;059.043.009.010
059.043.009.170;059.043.009.170
059.043.010.181;059.043.010.181
059.043.010.201;059.043.010.201
059.043.012.228;059.043.012.228
059.043.012.252;059.043.012.252
059.043.014.165;059.043.014.165
059.043.014.201;059.043.014.201
059.043.018.214;059.043.018.214
059.043.018.234;059.043.018.234
059.043.020.249;059.043.020.249
059.043.021.001;059.043.021.001
059.043.021.005;059.043.021.005
059.043.021.013;059.043.021.013
059.043.021.016;059.043.021.019
059.043.021.021;059.043.021.021
059.043.021.041;059.043.021.041
059.043.021.077;059.043.021.077
059.043.021.114;059.043.021.114
059.043.021.121;059.043.021.121
059.043.021.125;059.043.021.125
059.043.021.152;059.043.021.155
059.043.021.157;059.043.021.157
059.043.038.041;059.043.038.041
059.043.038.046;059.043.038.046
059.043.045.213;059.043.045.213
059.043.060.225;059.043.060.225
059.043.064.000;059.043.064.255
059.043.080.053;059.043.080.053
059.043.080.057;059.043.080.057
059.043.092.061;059.043.092.061
059.043.092.150;059.043.092.150
059.043.093.185;059.043.093.185
059.043.094.044;059.043.094.047
059.043.094.050;059.043.094.050
059.043.094.052;059.043.094.055
059.043.094.072;059.043.094.079
059.043.097.233;059.043.097.233
059.043.102.116;059.043.102.123
059.043.102.129;059.043.102.129
059.043.102.185;059.043.102.185
059.043.103.125;059.043.103.125
059.043.103.157;059.043.103.157
059.043.103.225;059.043.103.225
059.043.105.105;059.043.105.105
059.043.105.115;059.043.105.115
059.043.105.125;059.043.105.125
059.043.105.157;059.043.105.157
059.043.105.159;059.043.105.159
059.043.106.134;059.043.106.134
059.043.106.138;059.043.106.138
059.043.110.082;059.043.110.082
059.043.118.122;059.043.118.122
059.043.118.125;059.043.118.125
059.043.118.141;059.043.118.141
059.043.223.126;059.043.223.126
059.043.223.167;059.043.223.169
059.043.226.106;059.043.226.106
059.043.226.110;059.043.226.110
059.043.226.114;059.043.226.114
059.043.227.053;059.043.227.053
059.043.227.055;059.043.227.055
059.043.227.245;059.043.227.245
059.043.238.157;059.043.238.157
059.043.238.165;059.043.238.165
059.043.238.169;059.043.238.169
059.043.238.178;059.043.238.178
059.043.240.202;059.043.240.202
059.043.240.205;059.043.240.205
059.043.240.210;059.043.240.210
059.043.241.026;059.043.241.026
059.043.241.050;059.043.241.050
059.043.242.077;059.043.242.077
059.043.242.081;059.043.242.081
059.043.242.086;059.043.242.086
059.043.242.090;059.043.242.090
059.043.242.096;059.043.242.103
059.043.242.106;059.043.242.106
061.132.000.000;061.132.127.255
061.147.000.000;061.147.255.255
061.155.000.000;061.155.255.255
061.160.000.000;061.160.255.255
061.177.000.000;061.177.255.255
061.232.062.000;061.232.062.255
061.232.067.000;061.232.068.255
061.232.106.000;061.232.117.255
061.237.001.208;061.237.001.211
061.237.002.062;061.237.002.062
061.237.002.066;061.237.002.066
061.237.003.100;061.237.003.103
061.237.012.128;061.237.012.159
061.237.013.064;061.237.013.095
061.237.097.094;061.237.097.094
061.237.097.098;061.237.097.098
061.237.119.150;061.237.119.150
061.237.120.088;061.237.120.091
061.237.121.074;061.237.121.074
061.237.123.150;061.237.123.150
061.237.123.154;061.237.123.154
061.237.123.166;061.237.123.166
061.237.123.170;061.237.123.170
061.237.126.126;061.237.126.126
061.237.126.130;061.237.126.130
061.237.160.000;061.237.175.255
061.237.241.024;061.237.241.039
061.241.000.000;061.241.063.255
101.004.112.066;101.004.112.066
101.004.116.217;101.004.116.217
101.004.116.221;101.004.116.221
101.004.117.026;101.004.117.026
101.004.118.000;101.004.118.003
101.076.000.000;101.076.127.255
101.077.000.000;101.077.255.255
101.105.192.000;101.105.223.255
101.106.240.000;101.106.247.255
101.247.064.000;101.247.127.255
101.251.160.000;101.251.167.255
103.005.168.000;103.005.171.255
103.007.212.000;103.007.215.255
103.009.248.000;103.009.251.255
103.018.224.000;103.018.227.255
103.020.160.000;103.020.163.255
103.021.116.000;103.021.119.255
103.022.020.000;103.022.023.255
103.023.056.000;103.023.059.255
103.026.076.000;103.026.079.255
103.037.044.000;103.037.047.255
103.040.192.000;103.040.195.255
103.040.232.000;103.040.235.255
103.052.176.000;103.052.179.255
103.056.060.000;103.056.063.255
103.060.164.000;103.060.167.255
103.192.188.000;103.192.191.255
103.204.074.000;103.204.075.255
103.205.252.000;103.205.255.255
103.224.228.000;103.224.229.255
103.227.120.000;103.227.121.255
103.229.148.000;103.229.151.255
103.229.212.000;103.229.215.255
103.238.040.000;103.238.043.255
103.239.244.000;103.239.247.255
103.250.216.000;103.250.219.255
103.255.092.000;103.255.095.255
103.255.200.000;103.255.203.255
106.048.016.000;106.048.023.255
106.110.000.000;106.111.255.255
110.064.153.000;110.064.153.255
110.115.000.000;110.117.255.255
111.208.000.000;111.211.255.255
111.223.012.000;111.223.015.255
112.000.000.000;112.004.255.255
112.020.000.000;112.025.255.255
112.053.128.000;112.053.159.255
112.073.064.000;112.073.127.255
112.080.000.000;112.087.255.255
114.212.000.000;114.213.055.255
114.213.064.000;114.213.127.255
114.214.080.000;114.214.087.255
114.216.000.000;114.239.255.255
115.025.208.128;115.025.208.135
115.168.042.000;115.168.042.255
115.168.074.000;115.168.074.255
115.169.021.000;115.169.022.255
115.173.000.000;115.173.031.255
115.181.048.000;115.181.055.255
115.181.192.000;115.181.207.255
115.181.236.000;115.181.239.255
117.060.000.000;117.063.255.255
117.080.000.000;117.095.255.255
117.121.128.000;117.121.143.255
117.136.019.000;117.136.019.255
117.136.035.000;117.136.035.255
117.136.045.000;117.136.046.255
117.136.066.000;117.136.068.255
117.136.141.000;117.136.141.255
117.136.235.040;117.136.235.047
117.142.010.000;117.142.015.255
117.142.039.000;117.142.039.255
117.142.154.000;117.142.158.255
118.084.194.000;118.084.194.031
118.084.194.040;118.084.194.127
118.184.128.000;118.184.255.255
118.191.000.000;118.191.012.255
118.191.024.000;118.191.031.255
119.040.064.000;119.040.079.255
119.078.208.000;119.078.223.255
120.044.097.000;120.044.097.255
120.044.124.000;120.044.125.255
120.132.000.000;120.132.031.255
120.132.096.000;120.132.111.255
120.195.000.000;120.195.255.255
121.224.000.000;121.239.255.255
121.248.000.000;121.249.051.255
122.072.008.000;122.072.009.255
122.072.064.000;122.072.065.255
122.088.000.000;122.089.255.255
122.094.000.000;122.097.255.255
122.192.000.000;122.195.255.255
123.072.000.000;123.072.255.255
123.077.000.000;123.077.255.255
123.094.012.000;123.094.012.255
124.205.152.192;124.205.152.255
124.249.000.000;124.249.127.255
150.129.252.000;150.129.255.255
153.003.000.000;153.003.255.255
153.034.000.000;153.037.255.255
153.099.000.000;153.099.255.255
153.101.000.000;153.101.255.255
157.000.000.000;157.000.255.255
159.226.073.000;159.226.075.255
159.226.101.000;159.226.101.255
159.226.103.000;159.226.106.255
159.226.120.000;159.226.121.255
175.188.224.000;175.188.255.255
180.096.000.000;180.127.255.255
180.208.000.000;180.208.091.255
180.208.104.000;180.209.255.255
183.206.000.000;183.213.255.255
192.055.010.000;192.055.011.255
202.038.002.000;202.038.003.255
202.097.016.130;202.097.016.130
202.097.016.134;202.097.016.134
202.097.016.138;202.097.016.138
202.097.016.142;202.097.016.142
202.097.016.146;202.097.016.146
202.097.016.150;202.097.016.150
202.097.016.154;202.097.016.154
202.097.016.158;202.097.016.158
202.097.016.226;202.097.016.226
202.097.016.230;202.097.016.230
202.097.016.234;202.097.016.234
202.097.016.238;202.097.016.238
202.097.016.242;202.097.016.242
202.097.016.246;202.097.016.246
202.097.016.250;202.097.016.250
202.097.016.254;202.097.016.254
202.097.018.000;202.097.018.003
202.097.018.069;202.097.018.069
202.097.018.078;202.097.018.078
202.097.027.004;202.097.027.007
202.097.027.009;202.097.027.009
